code;name;branch_code;branch_name;educational_category;is_primary;is_secondary
ΠΕ05;ΓΑΛΛΙΚΗΣ;ΠΕ05;ΓΑΛΛΙΚΗΣ;ΠΕ;True;True
ΠΕ06;ΑΓΓΛΙΚΗΣ;ΠΕ06;ΑΓΓΛΙΚΗΣ;ΠΕ;True;True
ΠΕ07;ΓΕΡΜΑΝΙΚΗΣ;ΠΕ07;ΓΕΡΜΑΝΙΚΗΣ;ΠΕ;True;True
ΠΕ08;ΚΑΛΛΙΤΕΧΝΙΚΩΝ;ΠΕ08;ΚΑΛΛΙΤΕΧΝΙΚΩΝ;ΠΕ;True;True
ΠΕ11;ΦΥΣΙΚΗΣ ΑΓΩΓΗΣ;ΠΕ11;ΦΥΣΙΚΗΣ ΑΓΩΓΗΣ;ΠΕ;True;True
ΠΕ33;ΜΕΘΟΔΟΛΟΓΙΑΣ, ΙΣΤΟΡΙΑΣ ΚΑΙ ΘΕΩΡΙΑΣ ΤΗΣ ΕΠΙΣΤΗΜΗΣ;ΠΕ33;ΙΣΤΟΡΙΑΣ ΚΑΙ ΦΙΛΟΣΟΦΙΑΣ ΤΗΣ ΕΠΙΣΤΗΜΗΣ;ΠΕ;False;True
ΠΕ34;ΙΤΑΛΙΚΗΣ ΦΙΛΟΛΟΓΙΑΣ;ΠΕ34;ΙΤΑΛΙΚΗΣ ΦΙΛΟΛΟΓΙΑΣ;ΠΕ;False;True
ΠΕ78;ΚΟΙΝΩΝΙΚΩΝ ΕΠΙΣΤΗΜΩΝ;ΠΕ78;ΚΟΙΝΩΝΙΚΩΝ ΕΠΙΣΤΗΜΩΝ;ΠΕ;False;True
ΠΕ79.01;ΜΟΥΣΙΚΗΣ ΕΠΙΣΤΗΜΗΣ;ΠΕ79;ΜΟΥΣΙΚΗΣ;ΠΕ;True;True
ΠΕ80;ΟΙΚΟΝΟΜΙΑΣ;ΠΕ80;ΟΙΚΟΝΟΜΙΑΣ;ΠΕ;False;True
ΠΕ81;ΠΟΛΙΤΙΚΩΝ ΜΗΧΑΝΙΚΩΝ - ΑΡΧΙΤΕΚΤΟΝΩΝ;ΠΕ81;ΠΟΛΙΤΙΚΩΝ ΜΗΧΑΝΙΚΩΝ - ΑΡΧΙΤΕΚΤΟΝΩΝ;ΠΕ;False;True
