Specialty,Division,Success_Count,Success_Count_History,Success_Count_Diff,Base_Score,Base_Score_History,Base_Score_Diff,Avg_Score,Avg_Score_History,Avg_Score_Diff,Top_5_Destination_Regions,Top_5_Competitive_Regions,National_Points_Range,National_Points_Range_History,National_Points_Range_Diff,Special_Category_Rate,Special_Category_Rate_History,Special_Category_Rate_Diff,Active_Regions_Rate,Active_Regions_Rate_History,Active_Regions_Rate_Diff,Leaving_Count,Leaving_Count_History,Leaving_Count_Diff,Top_5_Targeting_1st,Avg_Score_Applicants,Avg_Score_Applicants_History,Avg_Score_Applicants_Diff,Average_Preference_Count,Average_Preference_Count_History,Average_Preference_Count_Diff,Points_Entrance_Gap,Points_Entrance_Gap_History,Points_Entrance_Gap_Diff,Odds_of_Transfer,Odds_of_Transfer_History,Odds_of_Transfer_Diff,Waiting_List_Absolute,Waiting_List_Absolute_History,Waiting_List_Absolute_Diff
ΠΕ83,Δευτεροβάθμια Γενικής,74,"{""2022"": 19, ""2023"": 67, ""2024"": 52, ""2025"": 34, ""2026"": 74}",40.0,10.95,"{""2022"": 55.99, ""2023"": 38.45, ""2024"": 24.38, ""2025"": 13.2, ""2026"": 10.95}",-2.25,62.48,"{""2022"": 126.51, ""2023"": 105.66, ""2024"": 93.9, ""2025"": 79.31, ""2026"": 62.48}",-16.83,"{""Β' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 7, ""ΑΧΑΙΑΣ"": 7, ""Β' ΑΘΗΝΑΣ"": 6, ""Α' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 5, ""ΠΕΛΛΑΣ"": 4}","{""ΤΡΙΚΑΛΩΝ"": 131.11, ""Α' ΕΥΒΟΙΑΣ"": 95.6, ""Β' ΣΑΜΟΥ"": 94.86, ""Α' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 89.21, ""Α' ΠΕΙΡΑΙΑ"": 70.48}",120.16,"{""2022"": 188.38, ""2023"": 216.05, ""2024"": 134.92, ""2025"": 168.9, ""2026"": 120.16}",-48.74,10.81,"{""2022"": 0.0, ""2023"": 0.0, ""2024"": 3.85, ""2025"": 2.94, ""2026"": 10.81}",7.87,41.03,"{""2022"": 15.38, ""2023"": 39.74, ""2024"": 37.18, ""2025"": 28.21, ""2026"": 41.03}",12.82,132,"{""2024"": 88, ""2025"": 81, ""2026"": 132}",51.0,"{""ΑΧΑΙΑΣ"": 9, ""Β' ΑΘΗΝΑΣ"": 7, ""Α' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 7, ""Α' ΜΑΓΝΗΣΙΑΣ"": 7, ""Α' ΑΘΗΝΑΣ"": 5}",54.75,"{""2024"": 89.6, ""2025"": 73.47, ""2026"": 54.75}",-18.72,2.24,"{""2024"": 2.27, ""2025"": 2.57, ""2026"": 2.24}",-0.33,7.73,"{""2024"": 4.3, ""2025"": 5.84, ""2026"": 7.73}",1.89,56.06,"{""2024"": 59.09, ""2025"": 41.98, ""2026"": 56.06}",14.08,58,"{""2024"": 36, ""2025"": 47, ""2026"": 58}",11.0
ΠΕ84,Δευτεροβάθμια Γενικής,37,"{""2022"": 16, ""2023"": 28, ""2024"": 16, ""2025"": 27, ""2026"": 37}",10.0,18.41,"{""2022"": 45.72, ""2023"": 43.46, ""2024"": 21.2, ""2025"": 14.74, ""2026"": 18.41}",3.67,51.42,"{""2022"": 104.79, ""2023"": 104.77, ""2024"": 98.61, ""2025"": 93.8, ""2026"": 51.42}",-42.38,"{""ΑΧΑΙΑΣ"": 4, ""Α' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 4, ""Β' ΑΘΗΝΑΣ"": 3, ""ΡΟΔΟΠΗΣ"": 3, ""Β' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 3}","{""Α' ΜΑΓΝΗΣΙΑΣ"": 159.13, ""ΘΕΣΠΡΩΤΙΑΣ"": 82.68, ""Α' ΠΕΙΡΑΙΑ"": 81.9, ""Α' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 56.25, ""ΧΑΝΙΩΝ"": 43.9}",140.72,"{""2022"": 133.52, ""2023"": 115.5, ""2024"": 155.41, ""2025"": 120.06, ""2026"": 140.72}",20.66,10.81,"{""2022"": 0.0, ""2023"": 0.0, ""2024"": 6.25, ""2025"": 18.52, ""2026"": 10.81}",-7.71,24.36,"{""2022"": 11.54, ""2023"": 25.64, ""2024"": 16.67, ""2025"": 24.36, ""2026"": 24.36}",0.0,61,"{""2024"": 38, ""2025"": 48, ""2026"": 61}",13.0,"{""Α' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 7, ""ΑΧΑΙΑΣ"": 4, ""ΛΑΡΙΣΑΣ"": 3, ""Α' ΜΑΓΝΗΣΙΑΣ"": 3, ""ΧΑΝΙΩΝ"": 2}",51.93,"{""2024"": 79.62, ""2025"": 82.36, ""2026"": 51.93}",-30.43,3.07,"{""2024"": 1.62, ""2025"": 2.09, ""2026"": 3.07}",0.98,-0.51,"{""2024"": 18.99, ""2025"": 11.44, ""2026"": -0.51}",-11.95,60.66,"{""2024"": 42.11, ""2025"": 56.25, ""2026"": 60.66}",4.41,24,"{""2024"": 22, ""2025"": 21, ""2026"": 24}",3.0
ΠΕ85,Δευτεροβάθμια Γενικής,14,"{""2022"": 4, ""2023"": 12, ""2024"": 3, ""2025"": 5, ""2026"": 14}",9.0,15.58,"{""2022"": 70.86, ""2023"": 11.45, ""2024"": 28.9, ""2025"": 35.06, ""2026"": 15.58}",-19.48,42.26,"{""2022"": 87.44, ""2023"": 54.98, ""2024"": 31.05, ""2025"": 75.53, ""2026"": 42.26}",-33.27,"{""Β' ΑΘΗΝΑΣ"": 3, ""ΚΟΖΑΝΗΣ"": 2, ""ΣΕΡΡΩΝ"": 1, ""ΑΧΑΙΑΣ"": 1, ""Α' ΚΑΒΑΛΑΣ"": 1}","{""ΠΕΛΛΑΣ"": 81.86, ""ΗΜΑΘΙΑΣ"": 46.71, ""ΚΟΖΑΝΗΣ"": 37.58, ""ΑΧΑΙΑΣ"": 36.32, ""Β' ΑΘΗΝΑΣ"": 35.98}",66.28,"{""2022"": 17.96, ""2023"": 166.48, ""2024"": 4.3, ""2025"": 71.84, ""2026"": 66.28}",-5.56,28.57,"{""2022"": 0.0, ""2023"": 0.0, ""2024"": 33.33, ""2025"": 20.0, ""2026"": 28.57}",8.57,14.1,"{""2022"": 2.56, ""2023"": 12.82, ""2024"": 3.85, ""2025"": 6.41, ""2026"": 14.1}",7.69,33,"{""2024"": 11, ""2025"": 24, ""2026"": 33}",9.0,"{""Α' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 5, ""ΠΕΛΛΑΣ"": 3, ""Γ' ΑΘΗΝΑΣ"": 3, ""Δ' ΑΘΗΝΑΣ"": 3, ""ΤΡΙΚΑΛΩΝ"": 2}",34.65,"{""2024"": 42.72, ""2025"": 38.15, ""2026"": 34.65}",-3.5,3.4,"{""2024"": 3.5, ""2025"": 4.14, ""2026"": 3.4}",-0.74,7.61,"{""2024"": -11.67, ""2025"": 37.38, ""2026"": 7.61}",-29.77,42.42,"{""2024"": 27.27, ""2025"": 20.83, ""2026"": 42.42}",21.59,19,"{""2024"": 8, ""2025"": 19, ""2026"": 19}",0.0
ΠΕ86,Δευτεροβάθμια Γενικής,75,"{""2022"": 54, ""2023"": 152, ""2024"": 61, ""2025"": 46, ""2026"": 75}",29.0,30.74,"{""2022"": 81.56, ""2023"": 58.6, ""2024"": 50.33, ""2025"": 69.06, ""2026"": 30.74}",-38.32,131.33,"{""2022"": 131.47, ""2023"": 135.7, ""2024"": 124.31, ""2025"": 135.41, ""2026"": 131.33}",-4.08,"{""ΗΡΑΚΛΕΙΟΥ"": 13, ""ΧΑΝΙΩΝ"": 11, ""Α' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 8, ""ΜΕΣΣΗΝΙΑΣ"": 5, ""Δ' ΔΩΔΕΚΑΝΗΣΟΥ"": 4}","{""ΑΧΑΙΑΣ"": 257.1, ""ΠΙΕΡΙΑΣ"": 200.38, ""Α' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 199.13, ""ΛΑΡΙΣΑΣ"": 175.03, ""Α' ΜΑΓΝΗΣΙΑΣ"": 170.11}",226.36,"{""2022"": 144.24, ""2023"": 174.75, ""2024"": 156.34, ""2025"": 102.14, ""2026"": 226.36}",124.22,20.0,"{""2022"": 0.0, ""2023"": 0.0, ""2024"": 9.84, ""2025"": 10.87, ""2026"": 20.0}",9.13,33.33,"{""2022"": 20.51, ""2023"": 60.26, ""2024"": 21.79, ""2025"": 24.36, ""2026"": 33.33}",8.97,441,"{""2024"": 356, ""2025"": 374, ""2026"": 441}",67.0,"{""Α' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 53, ""ΑΧΑΙΑΣ"": 34, ""ΛΑΡΙΣΑΣ"": 32, ""Β' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 31, ""ΙΩΑΝΝΙΝΩΝ"": 18}",115.03,"{""2024"": 131.77, ""2025"": 131.45, ""2026"": 115.03}",-16.42,2.14,"{""2024"": 1.74, ""2025"": 1.73, ""2026"": 2.14}",0.41,16.3,"{""2024"": -7.46, ""2025"": 3.96, ""2026"": 16.3}",12.34,17.01,"{""2024"": 17.13, ""2025"": 12.3, ""2026"": 17.01}",4.71,366,"{""2024"": 295, ""2025"": 328, ""2026"": 366}",38.0
ΠΕ87.01,Δευτεροβάθμια Γενικής,14,"{""2022"": 2, ""2023"": 15, ""2024"": 9, ""2025"": 7, ""2026"": 14}",7.0,18.25,"{""2022"": 38.32, ""2023"": 18.7, ""2024"": 12.57, ""2025"": 15.0, ""2026"": 18.25}",3.25,52.89,"{""2022"": 50.42, ""2023"": 46.81, ""2024"": 27.52, ""2025"": 25.93, ""2026"": 52.89}",26.96,"{""Α' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 3, ""Α' ΑΘΗΝΑΣ"": 2, ""Β' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 2, ""Β' ΑΘΗΝΑΣ"": 1, ""ΗΜΑΘΙΑΣ"": 1}","{""Α' ΚΑΒΑΛΑΣ"": 65.08, ""Α' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 58.28, ""Α' ΠΕΙΡΑΙΑ"": 33.2, ""Β' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 30.18, ""ΗΜΑΘΙΑΣ"": 24.31}",46.83,"{""2022"": 24.2, ""2023"": 81.12, ""2024"": 21.54, ""2025"": 22.07, ""2026"": 46.83}",24.76,35.71,"{""2022"": 0.0, ""2023"": 0.0, ""2024"": 11.11, ""2025"": 14.29, ""2026"": 35.71}",21.42,12.82,"{""2022"": 2.56, ""2023"": 15.38, ""2024"": 8.97, ""2025"": 7.69, ""2026"": 12.82}",5.13,31,"{""2024"": 17, ""2025"": 23, ""2026"": 31}",8.0,"{""Α' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 6, ""Α' ΑΘΗΝΑΣ"": 2, ""Α' ΠΕΙΡΑΙΑ"": 2, ""ΑΧΑΙΑΣ"": 2, ""Α' ΛΕΣΒΟΥ"": 1}",38.9,"{""2024"": 31.95, ""2025"": 37.42, ""2026"": 38.9}",1.48,1.61,"{""2024"": 2.75, ""2025"": 2.31, ""2026"": 1.61}",-0.7,13.99,"{""2024"": -4.43, ""2025"": -11.49, ""2026"": 13.99}",25.48,45.16,"{""2024"": 52.94, ""2025"": 30.43, ""2026"": 45.16}",14.73,17,"{""2024"": 8, ""2025"": 16, ""2026"": 17}",1.0
ΠΕ87.02,Δευτεροβάθμια Γενικής,40,"{""2022"": 2, ""2023"": 33, ""2024"": 39, ""2025"": 38, ""2026"": 40}",2.0,31.31,"{""2022"": 69.65, ""2023"": 19.81, ""2024"": 26.76, ""2025"": 15.2, ""2026"": 31.31}",16.11,60.73,"{""2022"": 92.82, ""2023"": 46.09, ""2024"": 58.05, ""2025"": 53.85, ""2026"": 60.73}",6.88,"{""Β' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 3, ""ΗΜΑΘΙΑΣ"": 3, ""Α' ΑΘΗΝΑΣ"": 3, ""ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ"": 3, ""Β' ΑΘΗΝΑΣ"": 2}","{""ΛΑΡΙΣΑΣ"": 112.72, ""ΠΡΕΒΕΖΑΣ"": 101.81, ""Β' ΚΥΚΛΑΔΩΝ"": 86.25, ""ΚΑΣΤΟΡΙΑΣ"": 70.98, ""ΙΩΑΝΝΙΝΩΝ"": 69.05}",81.41,"{""2022"": 46.33, ""2023"": 52.69, ""2024"": 83.29, ""2025"": 103.8, ""2026"": 81.41}",-22.39,22.5,"{""2022"": 0.0, ""2023"": 0.0, ""2024"": 7.69, ""2025"": 10.53, ""2026"": 22.5}",11.97,33.33,"{""2022"": 2.56, ""2023"": 25.64, ""2024"": 26.92, ""2025"": 34.62, ""2026"": 33.33}",-1.29,96,"{""2024"": 99, ""2025"": 81, ""2026"": 96}",15.0,"{""ΛΑΡΙΣΑΣ"": 12, ""ΑΧΑΙΑΣ"": 9, ""Α' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 9, ""Β' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 7, ""Α' ΑΘΗΝΑΣ"": 6}",49.34,"{""2024"": 47.56, ""2025"": 47.74, ""2026"": 49.34}",1.6,2.0,"{""2024"": 2.58, ""2025"": 2.67, ""2026"": 2.0}",-0.67,11.39,"{""2024"": 10.49, ""2025"": 6.11, ""2026"": 11.39}",5.28,41.67,"{""2024"": 39.39, ""2025"": 46.91, ""2026"": 41.67}",-5.24,56,"{""2024"": 60, ""2025"": 43, ""2026"": 56}",13.0
ΠΕ87.03,Δευτεροβάθμια Γενικής,22,"{""2022"": 4, ""2023"": 14, ""2024"": 16, ""2025"": 19, ""2026"": 22}",3.0,19.41,"{""2022"": 82.59, ""2023"": 25.03, ""2024"": 31.19, ""2025"": 29.86, ""2026"": 19.41}",-10.45,54.78,"{""2022"": 86.14, ""2023"": 56.0, ""2024"": 55.26, ""2025"": 57.65, ""2026"": 54.78}",-2.87,"{""Α' ΑΘΗΝΑΣ"": 4, ""ΞΑΝΘΗΣ"": 3, ""Β' ΑΘΗΝΑΣ"": 2, ""Α' ΠΕΙΡΑΙΑ"": 1, ""ΑΡΤΑΣ"": 1}","{""Α' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 149.48, ""Α' ΠΕΙΡΑΙΑ"": 78.97, ""Β' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 77.49, ""ΠΙΕΡΙΑΣ"": 65.52, ""ΑΡΤΑΣ"": 58.55}",130.07,"{""2022"": 7.21, ""2023"": 77.88, ""2024"": 44.45, ""2025"": 96.84, ""2026"": 130.07}",33.23,9.09,"{""2022"": 0.0, ""2023"": 0.0, ""2024"": 0.0, ""2025"": 0.0, ""2026"": 9.09}",9.09,20.51,"{""2022"": 2.56, ""2023"": 14.1, ""2024"": 16.67, ""2025"": 19.23, ""2026"": 20.51}",1.28,58,"{""2024"": 55, ""2025"": 54, ""2026"": 58}",4.0,"{""Α' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 10, ""Β' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 9, ""ΠΙΕΡΙΑΣ"": 4, ""ΑΧΑΙΑΣ"": 3, ""Δ' ΑΘΗΝΑΣ"": 3}",52.82,"{""2024"": 47.61, ""2025"": 51.31, ""2026"": 52.82}",1.51,3.22,"{""2024"": 3.83, ""2025"": 2.94, ""2026"": 3.22}",0.28,1.96,"{""2024"": 7.65, ""2025"": 6.34, ""2026"": 1.96}",-4.38,37.93,"{""2024"": 29.09, ""2025"": 35.19, ""2026"": 37.93}",2.74,36,"{""2024"": 39, ""2025"": 35, ""2026"": 36}",1.0
ΠΕ87.04,Δευτεροβάθμια Γενικής,14,"{""2022"": 0, ""2023"": 7, ""2024"": 5, ""2025"": 4, ""2026"": 14}",10.0,19.32,"{""2023"": 27.2, ""2024"": 14.53, ""2025"": 9.2, ""2026"": 19.32}",10.12,35.47,"{""2023"": 39.77, ""2024"": 25.6, ""2025"": 16.62, ""2026"": 35.47}",18.85,"{""ΔΡΑΜΑΣ"": 2, ""ΑΡΚΑΔΙΑΣ"": 2, ""ΚΑΡΔΙΤΣΑΣ"": 2, ""Α' ΚΑΒΑΛΑΣ"": 2, ""ΠΕΛΛΑΣ"": 1}","{""ΛΑΡΙΣΑΣ"": 55.74, ""ΑΡΚΑΔΙΑΣ"": 54.96, ""ΔΡΑΜΑΣ"": 43.52, ""ΧΑΝΙΩΝ"": 40.27, ""ΠΕΛΛΑΣ"": 39.87}",36.42,"{""2023"": 29.53, ""2024"": 25.99, ""2025"": 12.0, ""2026"": 36.42}",24.42,21.43,"{""2023"": 0.0, ""2024"": 0.0, ""2025"": 25.0, ""2026"": 21.43}",-3.57,12.82,"{""2022"": 0.0, ""2023"": 8.97, ""2024"": 6.41, ""2025"": 3.85, ""2026"": 12.82}",8.97,32,"{""2024"": 16, ""2025"": 20, ""2026"": 32}",12.0,"{""Β' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 6, ""Α' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 5, ""ΣΕΡΡΩΝ"": 2, ""ΛΑΡΙΣΑΣ"": 2, ""ΑΡΚΑΔΙΑΣ"": 2}",32.15,"{""2024"": 23.59, ""2025"": 27.1, ""2026"": 32.15}",5.05,4.52,"{""2024"": 5.57, ""2025"": 5.56, ""2026"": 4.52}",-1.04,3.32,"{""2024"": 2.01, ""2025"": -10.48, ""2026"": 3.32}",13.8,43.75,"{""2024"": 31.25, ""2025"": 20.0, ""2026"": 43.75}",23.75,18,"{""2024"": 11, ""2025"": 16, ""2026"": 18}",2.0
ΠΕ87.05,Δευτεροβάθμια Γενικής,3,"{""2022"": 1, ""2023"": 0, ""2024"": 1, ""2025"": 1, ""2026"": 3}",2.0,55.67,"{""2022"": 22.05, ""2024"": 41.83, ""2025"": 42.34, ""2026"": 55.67}",13.33,90.46,"{""2022"": 22.05, ""2024"": 41.83, ""2025"": 42.34, ""2026"": 90.46}",48.12,"{""Β' ΑΘΗΝΑΣ"": 1, ""ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ"": 1, ""Γ' ΑΘΗΝΑΣ"": 1}","{""Γ' ΑΘΗΝΑΣ"": 125.26, ""ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ"": 55.67}",69.59,"{""2026"": 69.59}",,33.33,"{""2022"": 0.0, ""2024"": 0.0, ""2025"": 0.0, ""2026"": 33.33}",33.33,3.85,"{""2022"": 1.28, ""2023"": 0.0, ""2024"": 1.28, ""2025"": 1.28, ""2026"": 3.85}",2.57,6,"{""2024"": 7, ""2025"": 6, ""2026"": 6}",0.0,"{""Γ' ΑΘΗΝΑΣ"": 1, ""ΑΡΓΟΛΙΔΑΣ"": 1, ""ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ"": 1, ""Β' ΕΥΒΟΙΑΣ"": 1, ""Β' ΑΘΗΝΑΣ"": 1}",63.86,"{""2024"": 52.42, ""2025"": 61.06, ""2026"": 63.86}",2.8,3.0,"{""2024"": 3.0, ""2025"": 2.67, ""2026"": 3.0}",0.33,26.6,"{""2024"": -10.59, ""2025"": -18.72, ""2026"": 26.6}",45.32,50.0,"{""2024"": 14.29, ""2025"": 16.67, ""2026"": 50.0}",33.33,3,"{""2024"": 6, ""2025"": 5, ""2026"": 3}",-2.0
ΠΕ87.07,Δευτεροβάθμια Γενικής,0,"{""2022"": 0, ""2023"": 1, ""2024"": 0, ""2025"": 0, ""2026"": 0}",0.0,17.16,"{""2023"": 17.16}",,17.16,"{""2023"": 17.16}",,{},"{""Α' ΑΘΗΝΑΣ"": 17.16}",,{},,,"{""2023"": 0.0}",,0.0,"{""2022"": 0.0, ""2023"": 1.28, ""2024"": 0.0, ""2025"": 0.0, ""2026"": 0.0}",0.0,2,"{""2024"": 0, ""2025"": 0, ""2026"": 2}",2.0,"{""Γ' ΑΘΗΝΑΣ"": 2}",19.48,"{""2026"": 19.48}",,2.5,"{""2026"": 2.5}",,,{},,0.0,"{""2026"": 0.0}",,2,"{""2024"": 0, ""2025"": 0, ""2026"": 2}",2.0
ΠΕ87.08,Δευτεροβάθμια Γενικής,15,"{""2022"": 0, ""2023"": 10, ""2024"": 13, ""2025"": 6, ""2026"": 15}",9.0,21.91,"{""2023"": 17.39, ""2024"": 22.44, ""2025"": 25.56, ""2026"": 21.91}",-3.65,39.2,"{""2023"": 53.67, ""2024"": 42.93, ""2025"": 48.67, ""2026"": 39.2}",-9.47,"{""Β' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 5, ""ΠΙΕΡΙΑΣ"": 2, ""ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ"": 1, ""ΧΑΝΙΩΝ"": 1, ""Α' ΕΥΒΟΙΑΣ"": 1}","{""ΠΙΕΡΙΑΣ"": 61.02, ""ΗΜΑΘΙΑΣ"": 56.89, ""Α' ΕΥΒΟΙΑΣ"": 41.95, ""ΑΧΑΙΑΣ"": 40.47, ""ΣΕΡΡΩΝ"": 39.86}",39.11,"{""2023"": 93.89, ""2024"": 32.89, ""2025"": 37.64, ""2026"": 39.11}",1.47,13.33,"{""2023"": 0.0, ""2024"": 7.69, ""2025"": 0.0, ""2026"": 13.33}",13.33,12.82,"{""2022"": 0.0, ""2023"": 12.82, ""2024"": 10.26, ""2025"": 6.41, ""2026"": 12.82}",6.41,23,"{""2024"": 27, ""2025"": 18, ""2026"": 23}",5.0,"{""Β' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 3, ""ΛΑΡΙΣΑΣ"": 2, ""ΠΙΕΡΙΑΣ"": 2, ""ΣΕΡΡΩΝ"": 2, ""Α' ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ"": 1}",42.64,"{""2024"": 37.33, ""2025"": 39.37, ""2026"": 42.64}",3.27,1.94,"{""2024"": 1.53, ""2025"": 2.64, ""2026"": 1.94}",-0.7,-3.44,"{""2024"": 5.6, ""2025"": 9.3, ""2026"": -3.44}",-12.74,65.22,"{""2024"": 48.15, ""2025"": 33.33, ""2026"": 65.22}",31.89,8,"{""2024"": 14, ""2025"": 12, ""2026"": 8}",-4.0
ΠΕ87.09,Δευτεροβάθμια Γενικής,22,"{""2022"": 3, ""2023"": 20, ""2024"": 15, ""2025"": 19, ""2026"": 22}",3.0,10.78,"{""2022"": 72.42, ""2023"": 12.12, ""2024"": 18.86, ""2025"": 29.11, ""2026"": 10.78}",-18.33,51.92,"{""2022"": 84.14, ""2023"": 56.83, ""2024"": 49.63, ""2025"": 61.45, ""2026"": 51.92}",-9.53,"{""Α' ΑΘΗΝΑΣ"": 3, ""ΧΑΛΚΙΔΙΚΗΣ"": 2, ""ΗΡΑΚΛΕΙΟΥ"": 2, ""Α' ΛΕΣΒΟΥ"": 2, ""Α' ΜΑΓΝΗΣΙΑΣ"": 2}","{""Δ' ΑΘΗΝΑΣ"": 94.66, ""Β' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 85.85, ""ΔΡΑΜΑΣ"": 77.22, ""Α' ΚΑΒΑΛΑΣ"": 74.19, ""Α' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 59.82}",83.88,"{""2022"": 17.99, ""2023"": 124.47, ""2024"": 46.49, ""2025"": 159.79, ""2026"": 83.88}",-75.91,4.55,"{""2022"": 0.0, ""2023"": 0.0, ""2024"": 6.67, ""2025"": 5.26, ""2026"": 4.55}",-0.71,20.51,"{""2022"": 3.85, ""2023"": 21.79, ""2024"": 14.1, ""2025"": 20.51, ""2026"": 20.51}",0.0,49,"{""2024"": 43, ""2025"": 49, ""2026"": 49}",0.0,"{""Β' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 8, ""Α' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 5, ""ΙΩΑΝΝΙΝΩΝ"": 4, ""ΚΟΖΑΝΗΣ"": 3, ""Δ' ΑΘΗΝΑΣ"": 2}",48.35,"{""2024"": 54.86, ""2025"": 49.23, ""2026"": 48.35}",-0.88,3.79,"{""2024"": 3.28, ""2025"": 3.74, ""2026"": 3.79}",0.05,3.57,"{""2024"": -5.23, ""2025"": 12.22, ""2026"": 3.57}",-8.65,44.9,"{""2024"": 34.88, ""2025"": 38.78, ""2026"": 44.9}",6.12,27,"{""2024"": 28, ""2025"": 30, ""2026"": 27}",-3.0
ΠΕ87.10,Δευτεροβάθμια Γενικής,0,"{""2022"": 1, ""2023"": 0, ""2024"": 0, ""2025"": 0, ""2026"": 0}",0.0,78.07,"{""2022"": 78.07}",,78.07,"{""2022"": 78.07}",,{},"{""ΛΑΡΙΣΑΣ"": 78.07}",,{},,,"{""2022"": 0.0}",,0.0,"{""2022"": 1.28, ""2023"": 0.0, ""2024"": 0.0, ""2025"": 0.0, ""2026"": 0.0}",0.0,2,"{""2024"": 1, ""2025"": 1, ""2026"": 2}",1.0,"{""ΔΡΑΜΑΣ"": 1, ""Δ' ΑΘΗΝΑΣ"": 1}",11.6,"{""2024"": 7.2, ""2025"": 10.7, ""2026"": 11.6}",0.9,2.5,"{""2024"": 1.0, ""2025"": 4.0, ""2026"": 2.5}",-1.5,,{},,0.0,"{""2024"": 0.0, ""2025"": 0.0, ""2026"": 0.0}",0.0,2,"{""2024"": 1, ""2025"": 1, ""2026"": 2}",1.0
ΠΕ88.01,Δευτεροβάθμια Γενικής,29,"{""2022"": 6, ""2023"": 28, ""2024"": 16, ""2025"": 18, ""2026"": 29}",11.0,26.24,"{""2022"": 84.83, ""2023"": 11.2, ""2024"": 24.33, ""2025"": 11.2, ""2026"": 26.24}",15.04,50.74,"{""2022"": 113.98, ""2023"": 61.24, ""2024"": 54.26, ""2025"": 46.9, ""2026"": 50.74}",3.84,"{""ΠΡΕΒΕΖΑΣ"": 2, ""ΣΕΡΡΩΝ"": 2, ""Α' ΚΑΒΑΛΑΣ"": 2, ""Α' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 2, ""ΚΟΖΑΝΗΣ"": 2}","{""ΞΑΝΘΗΣ"": 93.85, ""ΛΑΡΙΣΑΣ"": 73.12, ""ΑΡΚΑΔΙΑΣ"": 72.9, ""ΣΕΡΡΩΝ"": 64.38, ""Α' ΛΕΣΒΟΥ"": 55.02}",67.61,"{""2022"": 49.56, ""2023"": 112.76, ""2024"": 71.61, ""2025"": 58.05, ""2026"": 67.61}",9.56,24.14,"{""2022"": 0.0, ""2023"": 0.0, ""2024"": 0.0, ""2025"": 5.56, ""2026"": 24.14}",18.58,29.49,"{""2022"": 7.69, ""2023"": 25.64, ""2024"": 17.95, ""2025"": 20.51, ""2026"": 29.49}",8.98,92,"{""2024"": 44, ""2025"": 59, ""2026"": 92}",33.0,"{""Α' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 15, ""ΛΑΡΙΣΑΣ"": 8, ""Α' ΜΑΓΝΗΣΙΑΣ"": 6, ""ΦΘΙΩΤΙΔΑΣ"": 4, ""ΠΡΕΒΕΖΑΣ"": 3}",43.72,"{""2024"": 47.04, ""2025"": 46.83, ""2026"": 43.72}",-3.11,2.67,"{""2024"": 1.94, ""2025"": 3.13, ""2026"": 2.67}",-0.46,7.02,"{""2024"": 7.22, ""2025"": 0.07, ""2026"": 7.02}",6.95,31.52,"{""2024"": 36.36, ""2025"": 30.51, ""2026"": 31.52}",1.01,63,"{""2024"": 28, ""2025"": 41, ""2026"": 63}",22.0
